                                   Date     Open     High      Low    Close     Volume         Ema3         Ema6  Ema3-Ema6       Macd     Signal  Momentum  Macd-Signal        Rsi  Gradient      Buy     Sell        Target
Date                                                                                                                                                                                                                         
2021-02-26 20:55:00 2021-02-26 20:55:00  1228.68  1230.04  1220.65  1224.60  187.04091  1229.058717  1233.762528  -4.703811  -8.769840  -6.522578 -2.247262    -2.247262  24.704033    -332.0      NaN      NaN  [0.01, 0.01]
2021-02-26 21:00:00 2021-02-26 21:00:00  1224.74  1229.13  1220.67  1222.29  165.81390  1225.674359  1230.484663  -4.810305  -9.550861  -7.128235 -2.422626    -2.422626  22.886042    -114.0      NaN      NaN  [0.01, 0.01]
2021-02-26 21:05:00 2021-02-26 21:05:00  1221.59  1223.63  1213.01  1222.32  275.37351  1223.997179  1228.151902  -4.154723 -10.051537  -7.712895 -2.338642    -2.338642  22.974380    -432.0      NaN      NaN  [0.01, 0.01]
2021-02-26 21:10:00 2021-02-26 21:10:00  1222.52  1224.24  1212.72  1213.65  265.71230  1218.823590  1224.008502  -5.184912 -11.020881  -8.374492 -2.646389    -2.646389  16.442228    -491.5      NaN      NaN  [0.01, 0.01]
2021-02-26 21:15:00 2021-02-26 21:15:00  1213.22  1218.27  1209.84  1212.49  195.03941  1215.656795  1220.717501  -5.060706 -11.747280  -9.049050 -2.698230    -2.698230  15.724421    -552.0      NaN      NaN  [0.01, 0.01]
2021-02-26 21:20:00 2021-02-26 21:20:00  1212.19  1213.06  1202.00  1202.61  423.05806  1209.133397  1215.543929  -6.410532 -12.970672  -9.833374 -3.137298    -3.137298  10.872944    -552.5      NaN      NaN  [0.01, 0.01]
2021-02-26 21:25:00 2021-02-26 21:25:00  1202.23  1208.02  1200.64  1201.44  303.79524  1205.286699  1211.514235  -6.227537 -13.874690 -10.641637 -3.233052    -3.233052  10.416254     -95.0      NaN      NaN  [0.01, 0.01]
2021-02-26 21:30:00 2021-02-26 21:30:00  1201.58  1210.10  1200.00  1200.71  341.39172  1202.998349  1208.427311  -5.428962 -14.483083 -11.409926 -3.073156    -3.073156  10.098672     227.5      NaN      NaN  [0.01, 0.01]
2021-02-26 21:35:00 2021-02-26 21:35:00  1200.69  1208.32  1200.43  1205.99  147.45151  1204.494175  1207.730936  -3.236762 -14.373498 -12.002641 -2.370857    -2.370857  28.910899     416.0      NaN      NaN  [0.01, 0.01]
2021-02-26 21:40:00 2021-02-26 21:40:00  1206.38  1212.00  1205.28  1209.03  191.42459  1206.762087  1208.102097  -1.340010 -13.881334 -12.378379 -1.502954    -1.502954  37.890427     315.0      NaN      NaN  [0.01, 0.01]
2021-02-26 21:45:00 2021-02-26 21:45:00  1209.32  1216.34  1209.32  1212.29  160.31040  1209.526044  1209.298641   0.227403 -13.077486 -12.518201 -0.559285    -0.559285  46.574516     -15.0      NaN      NaN  [0.01, 0.01]
2021-02-26 21:50:00 2021-02-26 21:50:00  1212.34  1214.37  1207.59  1208.73  126.73269  1209.128022  1209.136172  -0.008150 -12.582648 -12.531090 -0.051558    -0.051558  39.362425    -603.5      NaN      NaN  [0.01, 0.01]
2021-02-26 21:55:00 2021-02-26 21:55:00  1209.06  1210.80  1198.48  1200.22  290.30288  1204.674011  1206.588694  -1.914683 -12.730423 -12.570957 -0.159466    -0.159466  27.255617     135.0      NaN      NaN  [0.01, 0.01]
